,new_demand
2022-04-03,1403.6000000000001
2022-04-10,1416.8000000000002
2022-04-17,1117.6000000000001
2022-04-24,1028.5
2022-05-01,1173.7
2022-05-08,1076.9
2022-05-15,1405.8000000000002
2022-05-22,1344.2
2022-05-29,1376.1000000000001
2022-06-05,889.9000000000001
2022-06-12,1313.4
2022-06-19,1060.4
2022-06-26,1293.6000000000001
2022-07-03,1405.8000000000002
2022-07-10,1248.5
2022-07-17,1221.0
2022-07-24,1300.2
2022-07-31,1226.5
2022-08-07,1135.2
2022-08-14,1196.8000000000002
2022-08-21,1135.2
2022-08-28,1424.5000000000002
2022-09-04,1102.2
2022-09-11,1248.5
2022-09-18,1293.6000000000001
2022-09-25,1227.6000000000001
2022-10-02,1279.3000000000002
2022-10-09,1306.8000000000002
2022-10-16,1292.5
2022-10-23,1225.4
2022-10-30,1164.9
2022-11-06,1346.4
2022-11-13,1377.2
2022-11-20,1387.1000000000001
2022-11-27,1347.5
2022-12-04,1326.6000000000001
2022-12-11,1400.3000000000002
2022-12-18,1392.6000000000001
2022-12-25,1204.5
2023-01-01,766.7
2023-01-08,1039.5
2023-01-15,1138.5
2023-01-22,1378.3000000000002
2023-01-29,1390.4
2023-02-05,1282.6000000000001
2023-02-12,1403.6000000000001
2023-02-19,1223.2
2023-02-26,1291.4
2023-03-05,1333.2
2023-03-12,1376.1000000000001
2023-03-19,1182.5
2023-03-26,1388.2
2023-04-02,1309.0
2023-04-09,1125.3000000000002
2023-04-16,863.5000000000001
2023-04-23,1206.7
2023-04-30,1217.7
2023-05-07,1210.0
2023-05-14,1244.1000000000001
2023-05-21,1254.0
2023-05-28,1236.4
2023-06-04,1051.6000000000001
2023-06-11,1348.6000000000001
2023-06-18,1313.4
2023-06-25,1409.1000000000001
2023-07-02,1173.7
2023-07-09,1267.2
2023-07-16,1144.0
2023-07-23,1184.7
2023-07-30,1244.1000000000001
2023-08-06,1274.9
2023-08-13,1015.3000000000001
2023-08-20,1194.6000000000001
2023-08-27,1184.7
2023-09-03,1135.2
2023-09-10,1267.2
2023-09-17,1312.3000000000002
2023-09-24,1419.0000000000002
2023-10-01,1450.9
2023-10-08,1326.6000000000001
2023-10-15,643.5
2023-10-22,1292.5
2023-10-29,1327.7
2023-11-05,1439.9
2023-11-12,1412.4
2023-11-19,1372.8000000000002
2023-11-26,1373.9
2023-12-03,1415.7
2023-12-10,1285.9
2023-12-17,1252.9
2023-12-24,1433.3000000000002
2023-12-31,826.1
2024-01-07,998.8000000000001
2024-01-14,1548.8000000000002
